location,direction_group,final_plot_group,sea_state_bin,video_stem,group_by,n_json_files,n_usable_curves,n_baseline_samples,baseline_mode,baseline_source,baseline_x,baseline_coordinate_min,baseline_coordinate_max,curve_boxplot_variance,central_band_area,central_band_percent,outlier_count,plot_path,timestamp,direction_degrees,H,T,sea_state,bin_min,bin_max,bin_count,candidate_rank,matched_timestamp_utc,match_delta_minutes,sea_state_for_plot,curves_csv,shoreline_variance,variance_window_position,variance_target_coordinate,variance_center_y,variance_window_y_min,variance_window_y_max,variance_window_samples,variance_curve_count,variance_finite_curve_count,included_in_correlation,cleanup_reason
seabright,offshore,offshore,6,walton_lighthouse-2025-08-15_172654Z,clip,100,100,186,polyline,C:\Users\monaz\Documents\GitHub\sam2_realtime\save_predict\shoreline_jsons\baseline\walton_lighthouse-2025-03-19_000451Z_000002.json,,253.22221786936225,886.2777625427678,385.54489882800135,32875.91112581843,90.0,0,C:\Users\monaz\Documents\GitHub\sam2_realtime\save_predict\shoreline_jsons\curve_boxplot_outputs_per_clip\seabright_updated_baseline\offshore\bin_6\walton_lighthouse-2025-08-15_172654Z\curve_boxplot.png,2025-08-15 17:26:00,308.0,1.48,7.69,16.844176,14.947452,18.071829,178,2,2025-08-15T17:26:54Z,0.9,16.844176,C:\Users\monaz\Documents\GitHub\sam2_realtime\save_predict\shoreline_jsons\curve_boxplot_outputs_per_clip\seabright_updated_baseline\offshore\bin_6\walton_lighthouse-2025-08-15_172654Z\curves.csv,562.9393394972479,coordinate,700.0,701.0,701.0,701.0,1,100,100,True,
seabright,offshore,offshore,9,walton_lighthouse-2025-04-22_002121Z,clip,2749,2748,186,polyline,C:\Users\monaz\Documents\GitHub\sam2_realtime\save_predict\shoreline_jsons\baseline\walton_lighthouse-2025-03-19_000451Z_000002.json,,253.22221786936225,886.2777625427678,1670.669867419025,114552.9468072766,90.0,0,C:\Users\monaz\Documents\GitHub\sam2_realtime\save_predict\shoreline_jsons\curve_boxplot_outputs_per_clip\seabright_updated_baseline\offshore\bin_9\walton_lighthouse-2025-04-22_002121Z\curve_boxplot.png,2025-04-22 00:26:00,303.0,1.66,10.53,29.016468,26.891856,34.445,177,1,2025-04-22T00:21:21Z,-4.65,29.016468,C:\Users\monaz\Documents\GitHub\sam2_realtime\save_predict\shoreline_jsons\curve_boxplot_outputs_per_clip\seabright_updated_baseline\offshore\bin_9\walton_lighthouse-2025-04-22_002121Z\curves.csv,2043.7404772093705,coordinate,700.0,701.0,701.0,701.0,1,2748,2713,True,
seabright,offshore,offshore,9,walton_lighthouse-2025-05-08_212105Z,clip,2048,2048,186,polyline,C:\Users\monaz\Documents\GitHub\sam2_realtime\save_predict\shoreline_jsons\baseline\walton_lighthouse-2025-03-19_000451Z_000002.json,,253.22221786936225,886.2777625427678,992.2706332742338,118697.99415298871,90.0,0,C:\Users\monaz\Documents\GitHub\sam2_realtime\save_predict\shoreline_jsons\curve_boxplot_outputs_per_clip\seabright_updated_baseline\offshore\bin_9\walton_lighthouse-2025-05-08_212105Z\curve_boxplot.png,2025-05-08 21:26:00,300.0,1.58,12.5,31.205000000000005,26.891856,34.445,177,2,2025-05-08T21:21:05Z,-4.92,31.205000000000005,C:\Users\monaz\Documents\GitHub\sam2_realtime\save_predict\shoreline_jsons\curve_boxplot_outputs_per_clip\seabright_updated_baseline\offshore\bin_9\walton_lighthouse-2025-05-08_212105Z\curves.csv,1265.9794933036071,coordinate,700.0,701.0,701.0,701.0,1,2048,2042,True,
seabright,south_easterly_onshore,onshore,10,walton_lighthouse-2025-02-06_212427Z,clip,833,833,186,polyline,C:\Users\monaz\Documents\GitHub\sam2_realtime\save_predict\shoreline_jsons\baseline\walton_lighthouse-2025-03-19_000451Z_000002.json,,253.22221786936225,886.2777625427678,5234.378905360289,188988.02839932824,90.0,0,C:\Users\monaz\Documents\GitHub\sam2_realtime\save_predict\shoreline_jsons\curve_boxplot_outputs_per_clip\seabright_updated_baseline\south_easterly_onshore\bin_10\walton_lighthouse-2025-02-06_212427Z\curve_boxplot.png,2025-02-06 21:26:00,204.0,2.22,6.67,32.872428000000006,29.695507,63.341761000000005,28,1,2025-02-06T21:24:27Z,0.0,32.872428000000006,C:\Users\monaz\Documents\GitHub\sam2_realtime\save_predict\shoreline_jsons\curve_boxplot_outputs_per_clip\seabright_updated_baseline\south_easterly_onshore\bin_10\walton_lighthouse-2025-02-06_212427Z\curves.csv,5317.158395283472,coordinate,700.0,701.0,701.0,701.0,1,833,429,True,
seabright,south_easterly_onshore,onshore,10,walton_lighthouse-2025-02-06_222129Z,clip,602,601,181,polyline,C:\Users\monaz\Documents\GitHub\sam2_realtime\save_predict\shoreline_jsons\baseline\walton_lighthouse-2025-03-19_000451Z_000002.json,,253.22221786936225,869.1681532272704,3419.9592258229645,135489.0903707331,90.0,0,C:\Users\monaz\Documents\GitHub\sam2_realtime\save_predict\shoreline_jsons\curve_boxplot_outputs_per_clip\seabright_updated_baseline\south_easterly_onshore\bin_10\walton_lighthouse-2025-02-06_222129Z\curve_boxplot.png,2025-02-06 22:26:00,204.0,2.3,6.25,33.06249999999999,29.695507,63.341761000000005,28,2,2025-02-06T22:21:29Z,0.0,33.06249999999999,C:\Users\monaz\Documents\GitHub\sam2_realtime\save_predict\shoreline_jsons\curve_boxplot_outputs_per_clip\seabright_updated_baseline\south_easterly_onshore\bin_10\walton_lighthouse-2025-02-06_222129Z\curves.csv,2317.1481973517193,coordinate,700.0,701.0,701.0,701.0,1,601,516,True,
seabright,south_easterly_onshore,onshore,2,walton_lighthouse-2025-07-26_195218Z,clip,875,872,186,polyline,C:\Users\monaz\Documents\GitHub\sam2_realtime\save_predict\shoreline_jsons\baseline\walton_lighthouse-2025-03-19_000451Z_000002.json,,253.22221786936225,886.2777625427678,946.9348570386536,278100.76420650864,90.0,0,C:\Users\monaz\Documents\GitHub\sam2_realtime\save_predict\shoreline_jsons\curve_boxplot_outputs_per_clip\seabright_updated_baseline\south_easterly_onshore\bin_2\walton_lighthouse-2025-07-26_195218Z\curve_boxplot.png,2025-07-26 19:56:00,206.0,0.61,14.29,5.317309,4.996962,5.940500000000001,27,2,2025-07-26T19:52:18Z,0.0,5.317309,C:\Users\monaz\Documents\GitHub\sam2_realtime\save_predict\shoreline_jsons\curve_boxplot_outputs_per_clip\seabright_updated_baseline\south_easterly_onshore\bin_2\walton_lighthouse-2025-07-26_195218Z\curves.csv,1077.7472126118346,coordinate,700.0,701.0,701.0,701.0,1,872,856,True,
seabright,south_easterly_onshore,onshore,4,walton_lighthouse-2025-07-21_225904Z,clip,301,301,186,polyline,C:\Users\monaz\Documents\GitHub\sam2_realtime\save_predict\shoreline_jsons\baseline\walton_lighthouse-2025-03-19_000451Z_000002.json,,253.22221786936225,886.2777625427678,1186.0898472078443,185629.34908865576,90.0,0,C:\Users\monaz\Documents\GitHub\sam2_realtime\save_predict\shoreline_jsons\curve_boxplot_outputs_per_clip\seabright_updated_baseline\south_easterly_onshore\bin_4\walton_lighthouse-2025-07-21_225904Z\curve_boxplot.png,2025-07-21 22:56:00,203.0,0.77,13.33,7.903357,7.103557,8.044400000000001,27,1,2025-07-21T22:59:04Z,0.0,7.903357,C:\Users\monaz\Documents\GitHub\sam2_realtime\save_predict\shoreline_jsons\curve_boxplot_outputs_per_clip\seabright_updated_baseline\south_easterly_onshore\bin_4\walton_lighthouse-2025-07-21_225904Z\curves.csv,856.5208703329841,coordinate,700.0,701.0,701.0,701.0,1,301,293,True,
seabright,south_easterly_onshore,onshore,4,walton_lighthouse-2025-07-24_182028Z,clip,726,726,186,polyline,C:\Users\monaz\Documents\GitHub\sam2_realtime\save_predict\shoreline_jsons\baseline\walton_lighthouse-2025-03-19_000451Z_000002.json,,253.22221786936225,886.2777625427678,927.053436890575,138838.59203930787,90.0,0,C:\Users\monaz\Documents\GitHub\sam2_realtime\save_predict\shoreline_jsons\curve_boxplot_outputs_per_clip\seabright_updated_baseline\south_easterly_onshore\bin_4\walton_lighthouse-2025-07-24_182028Z\curve_boxplot.png,2025-07-24 18:26:00,208.0,0.71,14.29,7.203588999999999,7.103557,8.044400000000001,27,2,2025-07-24T18:20:28Z,0.0,7.203588999999999,C:\Users\monaz\Documents\GitHub\sam2_realtime\save_predict\shoreline_jsons\curve_boxplot_outputs_per_clip\seabright_updated_baseline\south_easterly_onshore\bin_4\walton_lighthouse-2025-07-24_182028Z\curves.csv,1015.061575945888,coordinate,700.0,701.0,701.0,701.0,1,726,721,True,
seabright,south_easterly_onshore,onshore,5,walton_lighthouse-2025-11-13_002142Z,clip,1381,1381,186,polyline,C:\Users\monaz\Documents\GitHub\sam2_realtime\save_predict\shoreline_jsons\baseline\walton_lighthouse-2025-03-19_000451Z_000002.json,,253.22221786936225,886.2777625427678,1072.4635535925158,195016.0329009118,90.0,1,C:\Users\monaz\Documents\GitHub\sam2_realtime\save_predict\shoreline_jsons\curve_boxplot_outputs_per_clip\seabright_updated_baseline\south_easterly_onshore\bin_5\walton_lighthouse-2025-11-13_002142Z\curve_boxplot.png,2025-11-13 00:26:00,203.0,1.31,4.76,8.168636000000001,8.109972,9.598658000000002,27,2,2025-11-13T00:21:42Z,0.0,8.168636000000001,C:\Users\monaz\Documents\GitHub\sam2_realtime\save_predict\shoreline_jsons\curve_boxplot_outputs_per_clip\seabright_updated_baseline\south_easterly_onshore\bin_5\walton_lighthouse-2025-11-13_002142Z\curves.csv,2229.2740799713706,coordinate,700.0,701.0,701.0,701.0,1,1381,1371,True,
seabright,south_easterly_onshore,onshore,7,walton_lighthouse-2025-07-26_012153Z,clip,353,352,186,polyline,C:\Users\monaz\Documents\GitHub\sam2_realtime\save_predict\shoreline_jsons\baseline\walton_lighthouse-2025-03-19_000451Z_000002.json,,253.22221786936225,886.2777625427678,312.266079787554,42340.98859620812,90.0,0,C:\Users\monaz\Documents\GitHub\sam2_realtime\save_predict\shoreline_jsons\curve_boxplot_outputs_per_clip\seabright_updated_baseline\south_easterly_onshore\bin_7\walton_lighthouse-2025-07-26_012153Z\curve_boxplot.png,2025-07-26 01:26:00,193.0,0.9,14.29,11.5749,11.5749,16.056244,27,1,2025-07-26T01:21:53Z,0.0,11.5749,C:\Users\monaz\Documents\GitHub\sam2_realtime\save_predict\shoreline_jsons\curve_boxplot_outputs_per_clip\seabright_updated_baseline\south_easterly_onshore\bin_7\walton_lighthouse-2025-07-26_012153Z\curves.csv,345.03367422523047,coordinate,700.0,701.0,701.0,701.0,1,352,350,True,
seabright,south_easterly_onshore,onshore,7,walton_lighthouse-2025-11-12_222142Z,clip,1826,1826,186,polyline,C:\Users\monaz\Documents\GitHub\sam2_realtime\save_predict\shoreline_jsons\baseline\walton_lighthouse-2025-03-19_000451Z_000002.json,,253.22221786936225,886.2777625427678,912.3986339422324,229881.5702123252,90.0,2,C:\Users\monaz\Documents\GitHub\sam2_realtime\save_predict\shoreline_jsons\curve_boxplot_outputs_per_clip\seabright_updated_baseline\south_easterly_onshore\bin_7\walton_lighthouse-2025-11-12_222142Z\curve_boxplot.png,2025-11-12 22:26:00,201.0,0.94,13.33,11.778388,11.5749,16.056244,27,2,2025-11-12T22:21:42Z,0.0,11.778388,C:\Users\monaz\Documents\GitHub\sam2_realtime\save_predict\shoreline_jsons\curve_boxplot_outputs_per_clip\seabright_updated_baseline\south_easterly_onshore\bin_7\walton_lighthouse-2025-11-12_222142Z\curves.csv,547.0379818434723,coordinate,700.0,701.0,701.0,701.0,1,1826,1800,True,
seabright,south_easterly_onshore,onshore,8,walton_lighthouse-2025-06-05_215319Z,clip,1251,1251,186,polyline,C:\Users\monaz\Documents\GitHub\sam2_realtime\save_predict\shoreline_jsons\baseline\walton_lighthouse-2025-03-19_000451Z_000002.json,,253.22221786936225,886.2777625427678,3087.0151453189706,81697.35038460855,90.0,0,C:\Users\monaz\Documents\GitHub\sam2_realtime\save_predict\shoreline_jsons\curve_boxplot_outputs_per_clip\seabright_updated_baseline\south_easterly_onshore\bin_8\walton_lighthouse-2025-06-05_215319Z\curve_boxplot.png,2025-06-05 21:56:00,206.0,1.22,14.29,21.269236,16.316642,21.577804,27,2,2025-06-05T21:53:19Z,0.0,21.269236,C:\Users\monaz\Documents\GitHub\sam2_realtime\save_predict\shoreline_jsons\curve_boxplot_outputs_per_clip\seabright_updated_baseline\south_easterly_onshore\bin_8\walton_lighthouse-2025-06-05_215319Z\curves.csv,167.4558291591787,coordinate,700.0,701.0,701.0,701.0,1,1251,1092,True,
seabright,south_westerly_onshore,onshore,10,walton_lighthouse-2025-02-15_150220Z,clip,126,21,37,polyline,C:\Users\monaz\Documents\GitHub\sam2_realtime\save_predict\shoreline_jsons\baseline\walton_lighthouse-2025-03-19_000451Z_000002.json,,485.9129045601276,609.1020916317092,25.774705901946927,1833.6892545874173,90.0,0,C:\Users\monaz\Documents\GitHub\sam2_realtime\save_predict\shoreline_jsons\curve_boxplot_outputs_per_clip\seabright_updated_baseline\south_westerly_onshore\bin_10\walton_lighthouse-2025-02-15_150220Z\curve_boxplot.png,2025-02-15 10:26:00,279.0,3.25,13.33,140.798125,70.5157,454.230828,651,2,2025-02-15T15:02:20Z,276.33,140.798125,C:\Users\monaz\Documents\GitHub\sam2_realtime\save_predict\shoreline_jsons\curve_boxplot_outputs_per_clip\seabright_updated_baseline\south_westerly_onshore\bin_10\walton_lighthouse-2025-02-15_150220Z\curves.csv,0.034270827910049366,coordinate,700.0,606.0,606.0,606.0,1,21,6,True,
