x,median,q1,q3,whisker_low,whisker_high,iqr,std,count
392.45771543086175,-279.54228456913825,-343.86377755511,-241.0,-498.159443887775,-203.0,102.86377755511,133.16726996993003,374
393.186372745491,-278.813627254509,-340.49198396793656,-240.81362725450902,-490.0095190380779,-203.0,99.67835671342755,137.91515116108587,374
393.9150300601203,-277.0424849699399,-335.0849699398797,-240.02124248496995,-477.6805611222444,-203.0,95.06372745490978,148.92549891822514,374
394.6436873747495,-278.0,-336.8390781563126,-239.0890781563126,-483.4640781563126,-202.3563126252505,97.75,128.54806813787698,374
395.3723446893788,-278.75318637274546,-333.0983967935871,-239.6276553106212,-473.3045090180359,-202.0,93.47074148296588,138.7911803785364,374
396.101002004008,-278.0,-333.398997995992,-239.92424849699398,-473.61112224448897,-202.0,93.474749498998,137.72062397690965,374
396.82965931863725,-278.893787575152,-332.67034068136275,-239.37775551102206,-472.6092184368738,-202.0,93.29258517034069,134.49852113764973,374
397.55831663326654,-280.5,-356.4187374749499,-239.11042084168338,-532.3812124248498,-201.44168336673346,117.30831663326654,143.13081449061204,374
398.28697394789583,-280.71302605210417,-353.83847695391614,-239.14348697394792,-525.8809619238684,-201.0,114.69498997996823,150.78426162976143,375
399.01563126252506,-276.5,-340.74609218436876,-239.0,-493.3652304609219,-201.0,101.74609218436876,145.47377286704852,376
399.7442885771543,-281.12785571142285,-341.2637274549147,-239.0,-494.6593186372868,-201.0,102.26372745491472,139.0850074118681,376
400.4729458917836,-278.5270541082164,-336.5315631262519,-239.35470941883767,-482.29684368737327,-201.0,97.17685370741424,131.04259442032614,376
401.20160320641287,-276.5,-326.75,-239.94959919839678,-456.9506012024048,-200.79839679358713,86.80040080160322,129.3089528570539,376
401.9302605210421,-273.03486973947895,-323.0174348697395,-238.30901803606923,-450.08006012024487,-200.0697394789579,84.70841683367024,135.77294655449347,376
402.65891783567133,-275.511623246493,-338.7654308617237,-239.2558116232465,-488.0298597194395,-200.0,99.5096192384772,137.25239252225506,376
403.3875751503006,-269.6124248496994,-322.6124248496994,-238.04512358049442,-449.46337675350685,-199.61242484969938,84.56730126920496,127.88973746497766,376
404.1162324649299,-269.8837675350701,-324.8837675350701,-237.8837675350701,-455.3837675350701,-199.0,87.0,132.75814751931648,377
404.84488977955914,-269.0,-322.0,-237.15511022044086,-449.2673346693387,-199.0,84.84488977955914,130.84241048478748,377
405.57354709418837,-269.0,-326.92645290581163,-235.56983967935872,-463.96137274549096,-198.42645290581163,91.35661322645291,125.88450627626452,378
406.30220440881766,-268.34889779559114,-321.52334669338677,-235.77334669338677,-450.14834669338677,-198.0,85.75,127.83904364340991,378
407.03086172344695,-264.92228092548726,-314.0,-235.9768537074148,-431.0347194388778,-197.96913827655305,78.02314629258521,126.71048896912784,378
407.7595190380762,-269.1771877087508,-320.0506012024048,-236.06012024048096,-446.0363226452905,-197.24048096192382,83.99048096192382,129.80573658572172,378
408.4881763527054,-268.3878089512358,-319.8372745490982,-235.0,-447.0931863727455,-197.0,84.8372745490982,132.92432926963843,378
409.2168336673347,-270.88737474950244,-320.3915831663327,-235.39158316633265,-447.89158316633274,-197.0,85.00000000000003,135.60704187399296,379
409.945490981964,-267.054509018036,-317.13567134267,-235.027254509018,-440.29829659314794,-197.0,82.10841683365197,143.9424431445777,379
410.6741482965932,-268.3258517034068,-320.6629258517034,-234.5,-449.9073146292585,-196.32585170340678,86.16292585170339,139.45216754725277,379
411.40280561122245,-267.0,-320.2985971943888,-233.59719438877755,-450.3507014028056,-196.0,86.70140280561122,139.33342721706413,379
412.1314629258517,-265.8228456913787,-312.43426853707416,-233.43426853707416,-430.93426853707416,-196.0,79.0,135.3238049587709,379
412.86012024048097,-261.13987975951903,-314.09799599198305,-233.0,-435.7449899799576,-196.0,81.09799599198305,134.4090045872098,379
413.58877755511025,-259.5795591182359,-311.7056112224449,-232.0,-431.2640280561122,-195.41122244488975,79.70561122244487,127.845697725266,379
414.3174348697395,-262.6825651302605,-316.4100868403474,-232.62965931863727,-442.08072812291255,-195.0,83.78042752171012,127.87638977720067,379
415.0460921843687,-257.9539078156313,-307.0,-231.0,-421.0,-195.0,76.0,129.71231842049568,379
415.774749498998,-257.225250501002,-310.225250501002,-230.81683366733466,-429.337875751503,-195.0,79.40841683366733,125.50556380273386,379
416.5034068136273,-256.0,-309.24829659318635,-230.74829659318635,-426.99829659318635,-194.4965931863727,78.5,126.979498773436,379
417.2320641282565,-257.0,-306.88396793587174,-230.76793587174348,-421.05801603206413,-194.0,76.11603206412826,128.22047042461284,379
417.96072144288576,-256.0,-306.0196392785571,-230.01963927855712,-420.0196392785571,-194.0,76.0,143.0882701024451,379
418.68937875751504,-259.48496993987965,-308.1553106212425,-229.65531062124248,-425.90531062124256,-194.0,78.50000000000003,130.9325489495409,379
419.41803607214433,-258.58196392785567,-307.79098196392783,-230.0,-424.4774549098196,-194.0,77.79098196392783,139.59809372090544,379
420.14669338677356,-258.0,-309.5,-229.92665330661322,-428.86002004008014,-193.85330661322644,79.57334669338678,130.31291387798967,379
420.8753507014028,-257.0,-306.2866733466952,-230.0,-420.7166833667379,-193.1246492985972,76.28667334669518,136.93642434941611,379
421.6040080160321,-258.0,-306.6240480961925,-229.79699398797595,-421.8646292585173,-193.0,76.82705410821654,130.27471706522863,379
422.33266533066137,-254.66733466933863,-304.43406813627246,-228.5,-418.33517034068115,-193.0,75.93406813627246,140.74162423006433,379
423.0613226452906,-254.0,-303.9693386773547,-228.9386773547094,-416.51533066132265,-192.9386773547094,75.0306613226453,141.73134254539517,379
423.78997995991983,-252.21002004008017,-302.8310220440882,-227.99519038076158,-415.084769539078,-192.21002004008017,74.83583166332659,139.51054193859713,379
424.5186372745491,-252.0,-303.0,-226.48136272545088,-417.7779559118237,-192.0,76.51863727454912,122.64295996410728,380
425.2472945891784,-251.7527054108216,-299.7527054108216,-226.5645290581162,-409.5349699398797,-192.0,73.1881763527054,115.53510290377648,380
425.97595190380764,-250.52404809619236,-297.51803607214424,-226.02404809619236,-404.75901803607206,-192.0,71.49398797595188,124.02951521892858,380
426.7046092184369,-251.38336673346703,-298.2953907815631,-226.0,-406.7384769539078,-191.29539078156313,72.29539078156313,120.94759564556928,380
427.43326653306616,-250.56673346693384,-299.14168336673345,-226.0,-408.8542084168336,-191.0,73.14168336673345,135.1953948641645,380
428.1619238476954,-249.9190380761523,-297.44283567134266,-225.8380761523046,-404.8499749498998,-190.8380761523046,71.60475951903805,135.5640754527964,380
428.8905811623247,-249.55470941883766,-298.0,-225.0820641282565,-407.37690380761524,-190.10941883767532,72.91793587174351,135.93204423422435,380
429.6192384769539,-250.69038076152304,-300.53557114228454,-225.3807615230461,-413.2677855711422,-190.0,75.15480961923845,140.6143576086639,380
430.34789579158314,-250.65210420841686,-298.65210420841686,-224.65210420841686,-409.65210420841686,-189.65210420841686,74.0,133.4641539622637,381
431.07655310621243,-247.5,-293.92344689378757,-224.0,-398.8086172344689,-189.0,69.92344689378757,144.8393119651161,382
431.8052104208417,-247.5,-293.9084368737475,-224.0,-398.7710921843688,-189.0,69.90843687374752,139.37104093063851,382
432.53386773547095,-247.23306613226453,-296.46613226452905,-223.46613226452905,-405.96613226452905,-188.46613226452905,73.0,141.5350015026134,382
433.2625250501002,-246.0,-291.7374749498998,-222.18436873747495,-396.06713426853713,-188.0,69.55310621242486,128.680284745198,382
433.99118236472947,-243.09288577154308,-286.00881763527053,-220.00881763527053,-385.00881763527053,-188.0,66.0,123.40722574116619,382
434.71983967935876,-245.28016032064124,-291.0,-222.46012024048093,-393.8098196392786,-188.0,68.53987975951907,132.96199855420855,382
