feature_id,label,vertex_index,x,y,group_id,X_warped,Y_warped
1,shoreline,230,672.0,-497.0,,-13581780.448575497,4433931.298403711
1,shoreline,231,671.0,-496.0,,-13581783.615927313,4433932.636903641
1,shoreline,232,670.0,-496.0,,-13581784.198365709,4433932.400036555
1,shoreline,233,669.0,-495.0,,-13581787.388821086,4433933.742396805
1,shoreline,234,668.0,-495.0,,-13581787.977508696,4433933.502937293
1,shoreline,235,666.0,-493.0,,-13581794.423049537,4433936.199493111
1,shoreline,236,665.0,-493.0,,-13581795.023130676,4433935.956572259
1,shoreline,237,660.0,-488.0,,-13581811.484570162,4433942.768890045
1,shoreline,238,659.0,-488.0,,-13581812.11170927,4433942.519552173
1,shoreline,239,658.0,-487.0,,-13581815.465177473,4433943.8935563695
1,shoreline,240,657.0,-487.0,,-13581816.098448541,4433943.641231866
1,shoreline,241,655.0,-485.0,,-13581822.87262253,4433946.399378689
1,shoreline,242,654.0,-485.0,,-13581823.517236428,4433946.143031968
1,shoreline,243,653.0,-484.0,,-13581826.938149646,4433947.527058065
1,shoreline,244,652.0,-484.0,,-13581827.588812709,4433947.267681214
1,shoreline,245,650.0,-482.0,,-13581834.498791777,4433950.045433056
1,shoreline,246,649.0,-482.0,,-13581835.160723703,4433949.781989768
1,shoreline,247,644.0,-477.0,,-13581852.802680701,4433956.7888495885
1,shoreline,248,642.0,-477.0,,-13581854.181442203,4433956.245781602
1,shoreline,249,640.0,-475.0,,-13581861.397715367,4433959.07137427
1,shoreline,250,638.0,-475.0,,-13581862.800096193,4433958.5169321075
1,shoreline,251,637.0,-474.0,,-13581866.44889555,4433959.933622317
1,shoreline,252,635.0,-474.0,,-13581867.864069264,4433959.370196542
1,shoreline,253,634.0,-473.0,,-13581871.543661568,4433960.789019535
1,shoreline,254,632.0,-473.0,,-13581872.971465407,4433960.2170119565
1,shoreline,255,631.0,-472.0,,-13581876.681965044,4433961.638167503
1,shoreline,256,629.0,-472.0,,-13581878.122254958,4433961.058006511
1,shoreline,257,628.0,-471.0,,-13581881.863787198,4433962.481724905
1,shoreline,258,626.0,-471.0,,-13581883.316438256,4433961.893861625
1,shoreline,259,625.0,-470.0,,-13581887.089139983,4433963.320401079
1,shoreline,260,623.0,-470.0,,-13581888.55404679,4433962.7253060015
1,shoreline,261,622.0,-469.0,,-13581892.358067242,4433964.154950178
1,shoreline,262,615.0,-469.0,,-13581897.53446614,4433962.0256272545
1,shoreline,263,614.0,-468.0,,-13581901.39634225,4433963.4566174075
1,shoreline,264,613.0,-468.0,,-13581902.14256832,4433963.147084677
1,shoreline,265,612.0,-467.0,,-13581906.030890249,4433964.582556563
1,shoreline,266,609.0,-467.0,,-13581908.28751337,4433963.6464985255
1,shoreline,267,608.0,-466.0,,-13581912.21303455,4433965.086282606
1,shoreline,268,607.0,-466.0,,-13581912.971229859,4433964.772022829
1,shoreline,269,606.0,-465.0,,-13581916.923592215,4433966.216829485
1,shoreline,270,605.0,-465.0,,-13581917.687447665,4433965.901528757
1,shoreline,271,603.0,-463.0,,-13581925.668069156,4433968.8069983665
1,shoreline,272,596.0,-463.0,,-13581931.099887481,4433966.577425555
1,shoreline,273,595.0,-462.0,,-13581935.16095197,4433968.039736826
1,shoreline,274,592.0,-462.0,,-13581937.510646122,4433967.07471906
1,shoreline,275,591.0,-461.0,,-13581941.610432196,4433968.54417385
1,shoreline,276,584.0,-461.0,,-13581947.146196108,4433966.27871688
1,shoreline,277,583.0,-460.0,,-13581951.30714844,4433967.75856025
1,shoreline,278,565.0,-460.0,,-13581965.778536351,4433961.914344998
1,shoreline,279,564.0,-459.0,,-13581970.064505529,4433963.419534316
1,shoreline,280,552.0,-459.0,,-13581979.96239909,4433959.603425921
1,shoreline,281,551.0,-458.0,,-13581984.345271295,4433961.136189489
1,shoreline,282,543.0,-458.0,,-13581991.126093589,4433958.685594871
1,shoreline,283,542.0,-457.0,,-13581995.586855356,4433960.244579539
1,shoreline,284,536.0,-457.0,,-13582000.81091715,4433958.484872413
1,shoreline,285,535.0,-456.0,,-13582005.340843001,4433960.069413459
1,shoreline,286,529.0,-456.0,,-13582010.718271004,4433958.400134792
1,shoreline,287,528.0,-455.0,,-13582015.32239848,4433960.013994075
1,shoreline,288,521.0,-455.0,,-13582021.829262083,4433958.209145319
1,shoreline,289,520.0,-454.0,,-13582026.523363385,4433959.860941826
1,shoreline,290,509.0,-454.0,,-13582037.360738385,4433957.411054784
1,shoreline,291,508.0,-453.0,,-13582042.201585611,4433959.129765111
1,shoreline,292,502.0,-453.0,,-13582048.51785647,4433958.047935349
1,shoreline,293,501.0,-452.0,,-13582053.469985396,4433959.819187273
1,shoreline,294,498.0,-452.0,,-13582056.775351752,4433959.368041319
1,shoreline,295,497.0,-451.0,,-13582061.807954168,4433961.177336385
1,shoreline,296,494.0,-451.0,,-13582065.237226548,4433960.800205376
1,shoreline,297,493.0,-450.0,,-13582070.356704412,4433962.651154778
1,shoreline,298,488.0,-450.0,,-13582076.343070675,4433962.187485777
1,shoreline,299,487.0,-449.0,,-13582081.593106864,4433964.102946146
1,shoreline,300,483.0,-449.0,,-13582086.631685723,4433963.885945464
1,shoreline,301,482.0,-448.0,,-13582092.005775906,4433965.863170541
1,shoreline,302,475.0,-448.0,,-13582101.324312983,4433965.803903846
1,shoreline,303,474.0,-447.0,,-13582106.895142036,4433967.882075214
1,shoreline,304,467.0,-447.0,,-13582116.71999639,4433968.17702917
1,shoreline,305,466.0,-446.0,,-13582122.48922895,4433970.359485157
