#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2024 01 03 04 56 999 99.0 99.0  1.58  7.14  6.01  38 9999.0 999.0  11.3 999.0 99.0 99.00
2024 01 03 05 26 999 99.0 99.0  1.57 11.11  6.22  49 9999.0 999.0  11.3 999.0 99.0 99.00
2024 01 03 05 56 999 99.0 99.0  1.56 11.11  6.18  64 9999.0 999.0  11.2 999.0 99.0 99.00
2024 01 03 06 26 999 99.0 99.0  1.62 10.53  6.59  52 9999.0 999.0  11.3 999.0 99.0 99.00
2024 01 03 06 56 999 99.0 99.0  1.62 11.11  6.77  72 9999.0 999.0  11.2 999.0 99.0 99.00
2024 01 03 07 26 999 99.0 99.0  1.54 10.53  6.79  71 9999.0 999.0  11.2 999.0 99.0 99.00
2024 01 03 07 56 999 99.0 99.0  1.63 11.11  7.06  61 9999.0 999.0  11.2 999.0 99.0 99.00
2024 01 03 08 26 999 99.0 99.0  1.46 11.11  6.68  59 9999.0 999.0  11.2 999.0 99.0 99.00
2024 01 03 08 56 999 99.0 99.0  1.65 11.11  7.23  65 9999.0 999.0  11.2 999.0 99.0 99.00
2024 01 03 09 26 999 99.0 99.0  1.71 11.11  7.21  71 9999.0 999.0  11.2 999.0 99.0 99.00
2024 01 03 09 56 999 99.0 99.0  1.46 11.11  6.85  69 9999.0 999.0  11.2 999.0 99.0 99.00
2024 01 03 10 26 999 99.0 99.0  1.49 10.53  6.95  68 9999.0 999.0  11.2 999.0 99.0 99.00
2024 01 03 10 56 999 99.0 99.0  1.44 10.53  6.97  59 9999.0 999.0  11.2 999.0 99.0 99.00
2024 01 03 11 26 999 99.0 99.0  1.50 10.53  7.11  64 9999.0 999.0  11.2 999.0 99.0 99.00
2024 01 03 11 56 999 99.0 99.0  1.38 10.53  6.93  72 9999.0 999.0  11.2 999.0 99.0 99.00
