X_warped,Y_warped,Z_m
189049.0,76028.0,5.1129999999999995
189051.0,76028.0,5.1129999999999995
189053.0,76028.0,5.1129999999999995
189055.0,76028.0,5.1129999999999995
189057.0,76028.0,5.1129999999999995
189059.0,76028.0,5.1129999999999995
189061.0,76028.0,5.1129999999999995
189063.0,76028.0,5.1129999999999995
189065.0,76028.0,5.1129999999999995
189067.0,76028.0,5.1129999999999995
189069.0,76028.0,5.1129999999999995
189071.0,76028.0,5.1129999999999995
189073.0,76028.0,5.1129999999999995
189075.0,76028.0,5.1129999999999995
189077.0,76028.0,5.1129999999999995
189079.0,76028.0,5.1129999999999995
189081.0,76028.0,5.1129999999999995
189083.0,76028.0,5.1129999999999995
189085.0,76028.0,5.1129999999999995
189087.0,76028.0,5.1129999999999995
189089.0,76028.0,5.1129999999999995
189091.0,76028.0,5.1129999999999995
189093.0,76028.0,5.1129999999999995
189095.0,76028.0,5.1129999999999995
189097.0,76028.0,5.1129999999999995
189099.0,76028.0,5.1129999999999995
189101.0,76028.0,5.1129999999999995
189103.0,76028.0,5.1129999999999995
189105.0,76028.0,5.1129999999999995
189107.0,76028.0,5.1129999999999995
189109.0,76028.0,5.1129999999999995
189111.0,76028.0,5.1129999999999995
189113.0,76028.0,5.1129999999999995
189115.0,76028.0,5.1129999999999995
189117.0,76028.0,5.1129999999999995
189119.0,76028.0,5.1129999999999995
189121.0,76028.0,5.1129999999999995
189123.0,76028.0,5.1129999999999995
189125.0,76028.0,5.1129999999999995
188925.0,76030.0,2.6879999999999993
188927.0,76030.0,2.6879999999999993
188929.0,76030.0,2.6879999999999993
188931.0,76030.0,2.6879999999999993
188933.0,76030.0,2.6879999999999993
188935.0,76030.0,2.6879999999999993
188937.0,76030.0,2.6879999999999993
188939.0,76030.0,2.6879999999999993
188941.0,76030.0,2.6879999999999993
188943.0,76030.0,2.6879999999999993
188945.0,76030.0,2.6879999999999993
188947.0,76030.0,2.6879999999999993
188949.0,76030.0,2.6879999999999993
188951.0,76030.0,2.6879999999999993
188953.0,76030.0,2.6879999999999993
188955.0,76030.0,2.6879999999999993
188957.0,76030.0,2.6879999999999993
188959.0,76030.0,2.6879999999999993
188961.0,76030.0,2.688023773007007
188963.0,76030.0,2.6884061691481675
188965.0,76030.0,2.6909294879393943
188967.0,76030.0,2.7015738236601106
188969.0,76030.0,2.734288016339269
188971.0,76030.0,2.8127912175470917
188973.0,76030.0,2.96549391701635
188975.0,76030.0,3.212087600656039
188977.0,76030.0,3.5474467630879474
188979.0,76030.0,3.9349159062080474
188981.0,76030.0,4.3167207642366066
188983.0,76030.0,4.637641148625466
188985.0,76030.0,4.866813781193694
188987.0,76030.0,5.004716150110481
188989.0,76030.0,5.0736506596634845
