x,median,q1,q3,whisker_low,whisker_high,iqr,std,count
471.258116232465,-282.28076152305493,-429.3662324649126,-216.88677354709375,-748.0854208416409,-194.741883767535,212.47945891781887,170.5990141282864,268
471.6252505010021,-281.3747494989979,-421.92084168335117,-216.37474949899791,-730.2399799598811,-194.37474949899791,205.54609218435326,159.99422241727856,268
471.9923847695391,-258.78647294588086,-389.1986973947862,-213.0,-653.4967434869656,-194.00761523046089,176.19869739478622,164.83081506729334,268
472.3595190380762,-278.6404809619238,-431.5949231796879,-216.6404809619238,-754.0265865063341,-194.0,214.9544422177641,163.5455066510078,269
472.7266533066133,-278.2733466933867,-413.55190380761167,-216.2733466933867,-709.4697394789491,-194.0,197.27855711422495,166.51497012922005,269
473.0937875751504,-276.0,-424.02304609219857,-218.56272545090224,-732.213527054143,-195.90621242484963,205.46032064129633,176.59574205051814,269
473.46092184368746,-281.5901803607196,-432.2645290581161,-218.53907815631254,-752.8527054108215,-195.53907815631254,213.72545090180358,170.07436359479368,269
473.8280561122245,-279.1719438877755,-428.0593186372851,-218.1719438877755,-742.8903807615495,-195.1719438877755,209.8873747495096,176.07134001144775,269
474.1951903807616,-279.66609886440403,-402.53537074148204,-217.0,-680.8384268537052,-193.80480961923843,185.53537074148204,165.57707694440288,270
474.56232464929866,-283.5,-419.67695390782495,-216.03139612558445,-725.1452905811857,-193.43767535070134,203.6455577822405,153.658897929562,270
474.92945891783575,-275.57054108216425,-395.73547094188405,-216.0,-665.3386773547102,-193.07054108216425,179.73547094188405,162.30175687570977,270
475.29659318637283,-277.70340681362717,-387.43486973946546,-213.84769539078036,-647.8156312624931,-192.70340681362717,173.5871743486851,148.2526515639934,273
475.66372745490986,-273.33627254509014,-382.20641282566237,-213.33627254509014,-635.5116232465207,-192.33627254509014,168.87014028057223,146.06387825203137,273
476.03086172344695,-255.98456913827653,-385.97374749499033,-213.96913827655305,-643.9806613226463,-192.0,172.00460921843728,159.11618380077465,274
