u,X_warped,Y_warped
0.593984962406015,-13581508.730559677,4433885.335720124
0.5964912280701754,-13581506.955869483,4433884.623719869
0.5989974937343359,-13581505.080633327,4433884.247260982
0.6015037593984962,-13581503.183334453,4433883.944429625
0.6040100250626566,-13581501.428527968,4433883.16607357
0.606516290726817,-13581499.530504642,4433882.865659947
0.6090225563909775,-13581497.703266164,4433882.329023478
0.6115288220551378,-13581495.80487922,4433882.029823219
0.6140350877192982,-13581493.976724487,4433881.496244533
0.6165413533834586,-13581492.077973055,4433881.198260681
0.6190476190476191,-13581490.248898154,4433880.667752718
0.6215538847117794,-13581488.349781308,4433880.370988293
0.6240601503759398,-13581486.519782368,4433879.843564087
0.6265664160401002,-13581484.62029921,4433879.5480221445
0.6290726817042607,-13581482.842044814,4433878.847916279
0.631578947368421,-13581480.957881572,4433878.501248832
0.6340852130325814,-13581479.123671269,4433877.987878728
0.6365914786967418,-13581477.225237362,4433877.688835233
0.6390977443609023,-13581475.416897042,4433877.089131924
0.6416040100250626,-13581473.558677034,4433876.655886854
0.644110275689223,-13581471.721328583,4433876.15298941
0.6466165413533834,-13581469.889823731,4433875.63059065
0.6491228070175439,-13581468.036589816,4433875.180705983
0.6516290726817042,-13581466.285403632,4433874.3902682755
0.6541353383458646,-13581464.382206354,4433874.107121116
0.656641604010025,-13581462.545168474,4433873.603187199
0.6591478696741855,-13581460.698179798,4433873.132460919
0.6616541353383458,-13581458.869331226,4433872.601197677
0.6641604010025062,-13581457.043836143,4433872.058743218
0.6666666666666666,-13581455.191130457,4433871.6070957845
0.6691729323308271,-13581453.398975756,4433870.953377947
0.6716791979949874,-13581451.51054803,4433870.620941866
0.6741854636591478,-13581449.763297316,4433869.817370774
0.6766917293233082,-13581447.89217536,4433869.427182005
0.6791979949874687,-13581446.114112193,4433868.726437966
0.681704260651629,-13581444.206332069,4433868.45858463
0.6842105263157894,-13581442.490877638,4433867.548903152
0.6867167919799498,-13581440.581929652,4433867.284947186
0.6892230576441103,-13581438.800459921,4433866.595571504
0.6917293233082706,-13581436.890728343,4433866.334230576
0.694235588972431,-13581435.107560268,4433865.650522672
0.6967418546365914,-13581433.262528593,4433865.173265502
0.6992481203007519,-13581431.47522312,4433864.50336487
0.7017543859649122,-13581429.676836219,4433863.870445158
0.7042606516290726,-13581427.839588864,4433863.367210274
0.706766917293233,-13581426.098525016,4433862.542992358
0.7092731829573935,-13581424.231922626,4433862.137720885
0.7117794486215538,-13581422.473605022,4433861.371082161
0.7142857142857142,-13581420.558272727,4433861.12843186
0.7167919799498746,-13581418.891442295,4433860.056482617
0.7192982456140351,-13581416.974471703,4433859.819299659
0.7218045112781954,-13581415.243129939,4433858.962637293
0.7243107769423558,-13581413.40767836,4433858.45340956
0.7268170426065163,-13581411.71522093,4433857.466982571
0.7293233082706767,-13581409.856698137,4433857.03474795
0.731829573934837,-13581407.935977215,4433856.810080611
0.7343358395989974,-13581406.076354308,4433856.381517258
0.7368421052631579,-13581404.21604972,4433855.955228796
0.7393483709273183,-13581402.377639638,4433855.455874152
0.7418546365914787,-13581400.493384521,4433855.109513329
0.744360902255639,-13581398.691231195,4433854.489162883
0.7468671679197995,-13581396.82790583,4433854.072955307
0.7493734335839599,-13581394.948339926,4433853.710945634
0.7518796992481203,-13581393.099160602,4433853.24753008
0.7543859649122806,-13581391.293032924,4433852.640442807
0.7568922305764411,-13581389.426627902,4433852.234512664
0.7593984962406015,-13581387.559512515,4433851.8309532
0.7619047619047619,-13581385.642563226,4433851.593699191
0.7644110275689222,-13581383.76494598,4433851.2251864355
0.7669172932330827,-13581381.953874927,4433850.634596114
0.7694235588972431,-13581380.141677033,4433850.04776636
0.7719298245614035,-13581378.21317759,4433849.849057395
0.7744360902255638,-13581376.341738308,4433849.459927583
0.7769423558897243,-13581374.518630704,4433848.909505575
0.7794486215538847,-13581372.620475175,4433848.609533127
0.7819548872180451,-13581370.723021962,4433848.307216867
0.7844611528822054,-13581368.783310087,4433848.145925917
0.7869674185463659,-13581366.843315026,4433847.985580077
0.7894736842105263,-13581364.889766518,4433847.870464709
0.7919799498746867,-13581362.9474967,4433847.717710159
0.794486215538847,-13581360.990759378,4433847.613236416
0.7969924812030075,-13581359.087829957,4433847.329195332
0.7994987468671679,-13581357.30062322,4433846.658965268
0.8020050125313283,-13581355.439498004,4433846.235415407
0.8045112781954886,-13581353.560616873,4433845.871120463
0.8070175438596491,-13581351.73356405,4433845.333864446
0.8095238095238095,-13581349.85285272,4433844.975677318
0.8120300751879699,-13581347.960806735,4433844.655316119
0.8145363408521302,-13581346.047277497,4433844.4066486
0.8170426065162907,-13581344.154764906,4433844.087844531
0.8195488721804511,-13581342.297946345,4433843.649922597
0.8220551378446115,-13581340.437724464,4433843.223358166
0.8245614035087718,-13581338.602884172,4433842.712090427
0.8270676691729323,-13581336.766751116,4433842.2051368775
0.8295739348370927,-13581334.929314347,4433841.702534151
0.8320802005012531,-13581333.04059564,4433841.371069148
0.8345864661654134,-13581331.15970492,4433841.013480593
0.8370927318295739,-13581329.3560913,4433840.3980034385
0.8395989974937343,-13581327.467676582,4433840.065523984
0.8421052631578947,-13581325.623952098,4433839.5839045355
0.844611528822055,-13581323.778861592,4433839.106843722
0.8471177944862155,-13581321.946072366,4433838.588731246
0.849624060150376,-13581320.157823313,4433837.92197955
0.8521303258145363,-13581318.371923277,4433837.247388625
0.8546365914786966,-13581316.588327263,4433836.565108819
0.8571428571428571,-13581314.806991342,4433835.875286675
0.8596491228070176,-13581313.014796596,4433835.221702499
0.8621553884711779,-13581311.110045526,4433834.943740584
0.8646616541353382,-13581309.287355646,4433834.391924549
0.8671679197994987,-13581307.50411659,4433833.708453548
0.8696741854636592,-13581305.735688979,4433832.97555383
